part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
co adj n on,嗯 小 便士 吱,54.00110885233783,Zhou2,Target_Child,54,child
on,哈哈哈,60.00123205815314,Zhou2,Target_Child,60,child
on,哈哈哈,60.00123205815314,Zhou2,Target_Child,60,child
num adv n v asp v cpt on n v v v:resc asp n post v v:resc asp n v adj asp n,一 只 皮皮鼠 听见 了 吓 得 咕噜 滚 下来 跌 到 了 床 下面 折 断 了 手臂 摔 破 了 头,60.00123205815314,Zhou2,Mother,60,adult
on,嘿嘿嘿,60.00123205815314,Zhou2,Target_Child,60,child
on,呜,60.00123205815314,Zhou2,Target_Child,60,child
on,哈哈哈,60.00123205815314,Zhou2,Target_Child,60,child
on,嘿嘿嘿,60.00123205815314,Zhou2,Target_Child,60,child
on,哈哈哈,60.00123205815314,Zhou2,Target_Child,60,child
on,哈哈哈,60.00123205815314,Zhou2,Target_Child,60,child
on,pi,60.00123205815314,Zhou2,Target_Child,60,child
on,呜,60.00123205815314,Zhou2,Target_Child,60,child
on on,叭 叭,60.00123205815314,Zhou2,Target_Child,60,child
on,哗啦啦,60.00123205815314,Zhou2,Target_Child,60,child
on,哇哇,60.00123205815314,Zhou2,Mother,60,adult
on,啪啪,60.00123205815314,Zhou2,Mother,60,adult
on,啪,60.00123205815314,Zhou2,Mother,60,adult
post adv cl on,下面 还有 个 啵,60.00123205815314,Zhou2,Mother,60,adult
pro adv v:aux on,它 就 会 咚,60.00123205815314,Zhou2,Target_Child,60,child
num adv n v v:resc asp v cpt on n v v v:resc asp n poss post pro prep n v v:resc asp v adj asp n,一 只 皮皮鼠 听 见 了 吓 得 咕噜 滚 下来 跌 到 了 床 的 下面 它 把 手臂 折 断 了 摔 破 了 头,60.00123205815314,Zhou2,Mother,60,adult
on,咚咚,60.00123205815314,Zhou2,Mother,60,adult
on,咔嚓 咔嚓,66.00135526396846,Zhou2,Target_Child,66,child
on on on,咔嚓 咔嚓 噼噼,66.00135526396846,Zhou2,Target_Child,66,child
pro prep n poss post on n v,他们 在 衣橱 的 上面 嘭 地 乱跳,60.00123205815314,Zhou2,Mother,60,adult
on,啾,66.00135526396846,Zhou2,Target_Child,66,child
pro prep n post on n v,他们 在 床 上 嘭嘭嘭嘭嘭 地 乱跳,66.00135526396846,Zhou2,Mother,66,adult
num adv n v asp v cpt on on n v v v:resc post v v:resc asp n,一 只 皮皮鼠 听见 了 吓 得 咕噜 咕噜 滚 下来 跌 到 下面 折 断 了 手臂,66.00135526396846,Zhou2,Mother,66,adult
adv num adv n v asp v nom v v:resc n post v:dirc v:dirc asp on cleft v:resc v:resc n post v:dirc asp,然后 一 只 皮皮鼠 听见 了 吓 的 跑 到 床 底 下 去 了 咚 的 掉 到 床 底下 去 了,60.00123205815314,Zhou2,Mother,60,adult
adv v num adv n v asp on on n v v v:resc n post v v:resc asp n v adj asp n,又 有 一 只 皮皮鼠 听见 了 咕噜 咕噜 滚 下来 摔 到 桌子 上面 折 断 了 手臂 摔 破 了 头,66.00135526396846,Zhou2,Mother,66,adult
adv v v:resc v v:resc num cl n on on n v v v:resc asp n poss n v v:resc asp n v adj asp n,又 听 到 听 到 一 个 皮皮鼠 咕噜 咕噜 滚 下来 跌 到 了 衣橱 的 外面 折 断 了 手臂 摔 破 了 头,66.00135526396846,Zhou2,Mother,66,adult
v v adj asp on,有 点儿 大 了 啵,66.00135526396846,Zhou2,Mother,66,adult
num adv n v v:resc asp v cpt on on n n v v v:resc asp n,一 只 皮皮鼠 听 到 了 吓 得 咕噜 咕噜 地 滚 下来 跌 到 了 床,66.00135526396846,Zhou2,Mother,66,adult
